PER	Peru	1958	7,376	7.376	9606000
NRU	Nauru	2017	0,049	0.049	11000
BIH	Bosnia and Herzegovina	1972	10,724	10.724	3851000
MDV	Maldives	1994	0,198	0.198	249000
BOL	Bolivia	1954	0,788	0.788	3274000
KGZ	Kyrgyzstan	2018	10,081	10.081	6304000
SGP	Singapore	1989	41,709	41.709	2937000
IDN	Indonesia	1964	22,374	22.374	97597000
ZWE	Zimbabwe	1999	15,728	15.728	11823000
AGO	Angola	1960	0,549	0.549	5455000
CRI	Costa Rica	2006	6,965	6.965	4345000
YEM	Yemen	1985	8,573	8.573	9572000
ARE	United Arab Emirates	2017	200,04	200.04	9487000
SYR	Syria	1931	0,004	0.004	2581567
PRT	Portugal	1946	3,891	3.891	8133804
TUR	Turkey	1865	0,15	0.15	11651757
NZL	New Zealand	1925	4,089	4.089	1380657
ZMB	Zambia	1984	2,804	2.804	6702000
CAF	Central African Republic	1973	0,161	0.161	1895000
TUN	Tunisia	1960	1,724	1.724	4178000
IDN	Indonesia	1928	14,832	14.832	52076224
GBR	United Kingdom	1853	115,599	115.599	23232528
IRQ	Iraq	1995	74,084	74.084	20149000
ISR	Israel	1968	13,794	13.794	2677000
MEX	Mexico	1937	24,904	24.904	19594072
CAF	Central African Republic	2003	0,234	0.234	3881000
GRC	Greece	1987	62,576	62.576	10057000
AND	Andorra	1991	0,407	0.407	57000
JPN	Japan	1969	653,215	653.215	103496000
IDN	Indonesia	1894	0,48	0.48	35361272
BRB	Barbados	2013	1,438	1.438	284000
COM	Comoros	1960	0,011	0.011	191000
AUT	Austria	1849	2,261	2.261	3937048
MMR	Myanmar	1984	6,549	6.549	37242000
LVA	Latvia	2007	8,636	8.636	2198000
PNG	Papua New Guinea	1987	2,334	2.334	4293000
BEL	Belgium	1847	9,318	9.318	4326286
SEN	Senegal	1963	0,86	0.86	3482000
CHL	Chile	1938	5,529	5.529	4961553
BGR	Bulgaria	1998	53,176	53.176	8138000
POL	Poland	1951	122,143	122.143	25283000
KHM	Cambodia	1969	1,344	1.344	6881000
ZWE	Zimbabwe	1928	2,906	2.906	2329520
ZWE	Zimbabwe	1979	9,432	9.432	7160000
FJI	Fiji	2004	1,34	1.34	818000
SOM	Somalia	2013	0,63	0.63	13064000
DZA	Algeria	1927	0,059	0.059	6621661
TTO	Trinidad and Tobago	1968	4,037	4.037	931000
BEL	Belgium	1907	58,324	58.324	7333048
CIV	Cote d'Ivoire	2010	6,064	6.064	20533000
VEN	Venezuela	1913	0,015	0.015	3093944
AUS	Australia	1924	27,07	27.07	5828491
MEX	Mexico	1927	31,796	31.796	16545132
COL	Colombia	2001	55,939	55.939	40256000
ESP	Spain	2001	312,737	312.737	41319000
MOZ	Mozambique	2011	3,107	3.107	24188000
TUR	Turkey	1878	0,326	0.326	12377125
LBY	Libya	1995	45,691	45.691	4949000
BRA	Brazil	1991	217,228	217.228	151648000
WSM	Samoa	2004	0,15	0.15	179000
UKR	Ukraine	1986	714,004	714.004	51077000
ESP	Spain	1881	4,932	4.932	16995824
ESP	Spain	1894	8,735	8.735	18114000
GBR	United Kingdom	1972	648,026	648.026	55892000
BLZ	Belize	1971	0,143	0.143	125000
MYS	Malaysia	1984	34,794	34.794	15192000
BHR	Bahrain	1992	10,874	10.874	523000
TUV	Tuvalu	2011	0,007	0.007	11000
THA	Thailand	1950	0,956	0.956	20710000
KWT	Kuwait	2007	74,875	74.875	2504000
LTU	Lithuania	1988	34,789	34.789	3658000
GBR	United Kingdom	1889	345,024	345.024	33869468
IRL	Ireland	1917	0,256	0.256	3015837
GRC	Greece	1977	46,657	46.657	9255000
DEU	Germany	1863	49,383	49.383	37252544
ESP	Spain	2011	284,041	284.041	47084000
LBY	Libya	1987	32,348	32.348	4110000
SRB	Serbia	1968	22,832	22.832	7998000
LKA	Sri Lanka	1963	2,532	2.532	10598000
UZB	Uzbekistan	1986	117,425	117.425	18516000
GMB	Gambia	1994	0,209	0.209	1094000
FIN	Finland	2013	51,757	51.757	5439000
SUR	Suriname	1985	1,596	1.596	369000
SWE	Sweden	1874	1,872	1.872	4313280
TKM	Turkmenistan	1976	35,351	35.351	2594000
NGA	Nigeria	1926	0,876	0.876	19007240
KNA	Saint Kitts and Nevis	2013	0,224	0.224	50000
BEL	Belgium	1849	8,735	8.735	4392952
ITA	Italy	1861	0,671	0.671	26299204
GEO	Georgia	2011	7,804	7.804	4081000
ITA	Italy	1881	5,958	5.958	29797208
CHE	Switzerland	1939	11,86	11.86	4198972
MKD	Macedonia	1988	14,394	14.394	1996000
SUR	Suriname	2006	1,739	1.739	505000
USA	United States	1892	450,448	450.448	66717384
CHE	Switzerland	1864	0,572	0.572	2569746
ITA	Italy	2018	338,027	338.027	60627000
TUV	Tuvalu	1991	0,007	0.007	9000
JPN	Japan	1977	933,239	933.239	114828000
BRA	Brazil	1916	2,88	2.88	25436078
COD	Democratic Republic of Congo	1960	2,319	2.319	15248000
LBN	Lebanon	1980	5,89	5.89	2589000
CHE	Switzerland	1870	0,898	0.898	2663903
ATG	Antigua and Barbuda	1990	0,282	0.282	63000
CZE	Czech Republic	1998	125,313	125.313	10323000
POL	Poland	1892	43,096	43.096	23112478
FIN	Finland	1959	13,556	13.556	4400000
VNM	Vietnam	1898	0,656	0.656	14249413
GHA	Ghana	1981	3,03	3.03	11348000
HUN	Hungary	1863	1,209	1.209	5641256
GIN	Guinea	1960	0,41	0.41	3494000
DEU	Germany	1887	170,391	170.391	46772248
IDN	Indonesia	1899	1,125	1.125	37656668
THA	Thailand	2015	281,267	281.267	68715000
IRL	Ireland	1939	11,531	11.531	2917772
ROU	Romania	1897	1,297	1.297	10769324
IRN	Iran	1943	30,455	30.455	15650515
NLD	Netherlands	2008	175,524	175.524	16568000
HUN	Hungary	1995	61,627	61.627	10349000
ZWE	Zimbabwe	1973	9,271	9.271	5878000
VEN	Venezuela	1998	166,802	166.802	23289000
USA	United States	1996	5625,042	5625.042	268335008
RUS	Russia	2015	1622,498	1622.498	144984992
LUX	Luxembourg	1993	12,361	12.361	397000
BGD	Bangladesh	2017	78,884	78.884	159684992
MNG	Mongolia	1962	1,971	1.971	1011000
SYR	Syria	1940	0,022	0.022	2942180
OMN	Oman	1977	8,5	8.5	978000
SSD	South Sudan	1967	0,265	0.265	3268000
KIR	Kiribati	1974	0,033	0.033	54000
BEL	Belgium	1961	92,698	92.698	9225000
THA	Thailand	1956	2,62	2.62	24390000
HUN	Hungary	1845	0,088	0.088	4979136
BHR	Bahrain	1946	3,36	3.36	111326
PHL	Philippines	1928	0,081	0.081	11036099
NLD	Netherlands	1858	3,708	3.708	3293591
AUT	Austria	1950	20,899	20.899	6936000
UGA	Uganda	1971	1,439	1.439	9672000
DMA	Dominica	1970	0,026	0.026	71000
TZA	Tanzania	1967	1,758	1.758	12348000
MOZ	Mozambique	1975	2,882	2.882	10165000
IND	India	2014	2199,4	2199.4	1295601024
SLB	Solomon Islands	2006	0,165	0.165	481000
FRA	France	1845	17,836	17.836	35606000
SUR	Suriname	1990	1,738	1.738	405000
LAO	Laos	1998	0,82	0.82	5145000
DZA	Algeria	2015	150,704	150.704	39728000
ROU	Romania	1866	0,018	0.018	8917766
NRU	Nauru	2009	0,04	0.04	10000
SGP	Singapore	1988	35,949	35.949	2873000
PAK	Pakistan	1957	10,798	10.798	42111000
COM	Comoros	2006	0,161	0.161	626000
USA	United States	1944	2440,378	2440.378	141509776
AUT	Austria	1855	3,701	3.701	4095749
TGO	Togo	2008	1,523	1.523	6083000
CUB	Cuba	1986	33,375	33.375	10184000
PRT	Portugal	2009	57,139	57.139	10604000
KOR	South Korea	1968	37,197	37.197	30892000
ZAF	South Africa	2002	356,357	356.357	46151000
TJK	Tajikistan	1983	9,944	9.944	4265000
BGR	Bulgaria	1929	2,484	2.484	5956692
GBR	United Kingdom	1824	49,083	49.083	17144280
IRL	Ireland	1928	6,485	6.485	2920746
PNG	Papua New Guinea	1976	1,572	1.572	3220000
DEU	Germany	1794	0,443	0.443	
SLB	Solomon Islands	1968	0,037	0.037	150000
AUT	Austria	1947	17,631	17.631	6975374
SYR	Syria	2006	52,84	52.84	19059000
SWE	Sweden	1924	14,44	14.44	6024314
HUN	Hungary	1943	19,21	19.21	9427190
BEL	Belgium	1924	76,255	76.255	7708289
IND	India	1922	40,388	40.388	270853472
POL	Poland	1944	189,04	189.04	25791536
ETH	Ethiopia	1989	2,794	2.794	46272000
LTU	Lithuania	1995	15,004	15.004	3627000
GBR	United Kingdom	1927	466,735	466.735	45486076
MOZ	Mozambique	1928	0,022	0.022	5077610
TUR	Turkey	1895	0,374	0.374	13635509
YEM	Yemen	1977	2,978	2.978	7179000
BDI	Burundi	1963	0,048	0.048	2964000
VNM	Vietnam	2008	113,244	113.244	86243000
MYS	Malaysia	1993	90,69	90.69	19485000
MUS	Mauritius	1964	0,308	0.308	736000
RWA	Rwanda	1986	0,597	0.597	6444000
NIC	Nicaragua	1956	0,377	0.377	1558000
CHE	Switzerland	2011	40,979	40.979	7907000
CAN	Canada	1866	1,242	1.242	3597429
HTI	Haiti	1977	0,704	0.704	5295000
HND	Honduras	1967	0,875	0.875	2486000
STP	Sao Tome and Principe	1980	0,04	0.04	96000
LVA	Latvia	2012	7,52	7.52	2069000
FIN	Finland	1928	3,129	3.129	3396821
CZE	Czech Republic	1995	131,606	131.606	10358000
ROU	Romania	1898	1,711	1.711	10836914
KIR	Kiribati	1978	0,022	0.022	58000
CMR	Cameroon	1968	0,506	0.506	6201000
TWN	Taiwan	2005	255,804	255.804	22706000
CAN	Canada	1806	0,004	0.004	692543
TCD	Chad	1972	0,121	0.121	3815000
VEN	Venezuela	1972	62,514	62.514	12098000
ARE	United Arab Emirates	1982	36,753	36.753	1165000
NRU	Nauru	1973	0,084	0.084	7000
BGR	Bulgaria	1901	0,271	0.271	4046210
SGP	Singapore	1995	41,842	41.842	3526000
CHL	Chile	1973	27,586	27.586	10266000
IDN	Indonesia	1920	8,262	8.262	47287776
BRN	Brunei	1942	1,246	1.246	37034
AZE	Azerbaijan	2002	29,642	29.642	8277000
MRT	Mauritania	1965	0,161	0.161	986000
TUV	Tuvalu	1995	0,007	0.007	9000
CRI	Costa Rica	1983	2,089	2.089	2593000
LUX	Luxembourg	1996	9,209	9.209	414000
PAN	Panama	1985	2,613	2.613	2219000
BGR	Bulgaria	1957	14,392	14.392	7689000
AUS	Australia	1903	11,219	11.219	3906036
LBR	Liberia	1985	0,716	0.716	2146000
AZE	Azerbaijan	1960	20,573	20.573	3895000
FJI	Fiji	1979	0,836	0.836	622000
TWN	Taiwan	2004	250,259	250.259	22570000
GIN	Guinea	2001	1,561	1.561	8417000
GIN	Guinea	2014	2,165	2.165	11151000
DJI	Djibouti	2002	0,399	0.399	747000
NOR	Norway	1918	4,452	4.452	2576646
LKA	Sri Lanka	1950	1,627	1.627	7971000
POL	Poland	1889	40,517	40.517	22354404
CHE	Switzerland	1958	16,29	16.29	5128000
PER	Peru	1946	5,767	5.767	7201347
LBN	Lebanon	1993	10,355	10.355	3246000
MDV	Maldives	2003	0,506	0.506	303000
